sheet,row,column,ne_name,rule_id,severity,actual,expected,message
Radio 4G,11,cpSpeRefSigPwr,gBL00507,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,11,maxCPTransPwr,gBL00507,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,12,cpSpeRefSigPwr,gBL00507,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,12,maxCPTransPwr,gBL00507,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,13,cpSpeRefSigPwr,gBL00507,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,13,maxCPTransPwr,gBL00507,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,14,cpSpeRefSigPwr,gBL00507,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,14,maxCPTransPwr,gBL00507,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,21,cpSpeRefSigPwr,gBLT8509,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,21,maxCPTransPwr,gBLT8509,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,22,cpSpeRefSigPwr,gBLT8509,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,22,maxCPTransPwr,gBLT8509,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,23,cpSpeRefSigPwr,gBLT8509,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,23,maxCPTransPwr,gBLT8509,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,24,cpSpeRefSigPwr,gBLT8509,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,24,maxCPTransPwr,gBLT8509,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,34,cpSpeRefSigPwr,gCM08905,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,34,maxCPTransPwr,gCM08905,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,35,cpSpeRefSigPwr,gCM08905,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,35,maxCPTransPwr,gCM08905,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,36,cpSpeRefSigPwr,gCM08905,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,36,maxCPTransPwr,gCM08905,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,37,cpSpeRefSigPwr,gCM08905,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,37,maxCPTransPwr,gCM08905,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,38,cpSpeRefSigPwr,gCM08905,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,38,maxCPTransPwr,gCM08905,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,39,cpSpeRefSigPwr,gCM08905,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,39,maxCPTransPwr,gCM08905,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,49,cpSpeRefSigPwr,gCM08906,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,49,maxCPTransPwr,gCM08906,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,50,cpSpeRefSigPwr,gCM08906,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,50,maxCPTransPwr,gCM08906,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,51,cpSpeRefSigPwr,gCM08906,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,51,maxCPTransPwr,gCM08906,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,52,cpSpeRefSigPwr,gCM08906,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,52,maxCPTransPwr,gCM08906,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,53,cpSpeRefSigPwr,gCM08906,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,53,maxCPTransPwr,gCM08906,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
Radio 4G,54,cpSpeRefSigPwr,gCM08906,r_4g_tdd_power,error,15.2,9.2,"Radio 4G TDD row expects cpSpeRefSigPwr=9.2, got 15.2"
Radio 4G,54,maxCPTransPwr,gCM08906,r_4g_tdd_power,error,160,40,"Radio 4G TDD row expects maxCPTransPwr=40, got 160"
